vul,weakness_name,intrusion_action,vendor,product_name
1,out-of-bounds read,"allow an attacker to cause a denial-of-service condition, which leads to a restart of the webserver.",Siemens,"simatic cp 1616 and cp 1604, simatic cp443-1 (incl.siplus net variants), simatic cp443-1 advanced (incl.siplus net variants), simatic cp443-1 opc ua (incl.siplus net variants), simatic cp343-1 advanced (incl.siplus net variants), simatic et 200 sp open controller cpu 1515sp pc (incl.siplus variants), simatic et 200 sp open controller cpu 1515sp pc2 (incl.siplus variants), simatic hmi comfort outdoor panels 7"" & 15"" (incl.siplus variants), simatic hmi comfort panels 4"" - 22"" (incl.siplus variants), simatic hmi ktp mobile panels ktp400f, ktp700, ktp700f, ktp900 and ktp900f (incl.siplus variants), simatic ipc diagmonitor, simatic rf182c, simatic rf185c, simatic rf186c, simatic rf188c, simatic rf600 family, simatic rf181-eip, simatic s7-1500 software controller, simatic teleservice adapter ie advanced, simatic teleservice adapter ie basic, simatic teleservice adapter ie standard, simatic winac rtx (f) 2010, simatic s7-1500 cpu family (incl.related et200 cpus and siplus variants), simatic s7-300 cpu family (incl.related et200 cpus and siplus variants), simatic s7-400 pn/dp v6 and below cpu family (incl.siplus variants), simatic s7-400 pn/dp v7 cpu family (incl.siplus variants), simatic s7-plcsim advanced, simatic wincc runtime advanced, simocode pro v eip (incl.siplus variants), simocode pro vpn (incl.siplus variants), sinamics s120 v4.6 control unit (incl.siplus variants), sinamics s120 v4.7 control unit (incl.siplus variants), sinamics s120 v4.7 sp1 control unit (incl.siplus variants), sinamics s120 v4.8 control unit (incl.siplus variants), sinamics s120 v5.1 control unit (incl.siplus variants), sinamics s120 v5.1 sp1 control unit (incl.siplus variants), sinamics g130 v4.6 control unit, sinamics g130 v4.7 control unit, sinamics g130 v4.7 sp1 control unit, sinamics g130 v4.8 control unit, sinamics g130 v5.1 control unit, sinamics g130 v5.1 sp1 control unit, sinamics g150 v4.6 control unit, sinamics g150 v4.7 control unit, sinamics g150 v4.7 sp1 control unit, sinamics g150 v4.8 control unit, sinamics g150 v5.1 control unit, sinamics g150 v5.1 sp1 control unit, sinamics s150 v4.6 control unit, sinamics s150 v4.7 control unit, sinamics s150 v4.7 sp1 control unit, sinamics s150 v4.8 control unit, sinamics s150 v5.1 control unit, sinamics s150 v5.1 sp1 control unit, sinamics s210 v5.1 control unit, sinamics s210 v5.1 sp1 control unit, sitop manager, sitop ups1600 (incl.siplus variants), rfid 181eip, sitop psu8600, tim 1531 irc (incl.siplus net variants), simatic ipc diagmonitor"
2,improper access control,"an attacker with adjacent short-range access to an affected product, in situations where the product’s radio is turned on, can inject, replay, modify, and/or intercept data within the telemetry communication.",Medtronic,"mycarelink monitor, carelink monitor, carelink 2090 programmer, amplia crt-d, claria crt-d, compia crt-d, concerto crt-d, concerto ii crt-d, consulta crt-d, evera icd, maximo ii crt-d and icd, mirro icd, nayamed nd icd, primo icd, protecta icd and crt-d, secura icd, virtuoso icd, virtuoso ii icd, visia af icd, viva crt-d, brava crt-d, mirro mri icd"
3,cleartext transmission of sensitive information,"an attacker with adjacent short-range access to a target product can listen to communications, including the transmission of sensitive data.",Medtronic,"mycarelink monitor, carelink monitor, carelink 2090 programmer, amplia crt-d, claria crt-d, compia crt-d, concerto crt-d, concerto ii crt-d, consulta crt-d, evera icd, maximo ii crt-d and icd, mirro icd, nayamed nd icd, primo icd, protecta icd and crt-d, secura icd, virtuoso icd, virtuoso ii icd, visia af icd, viva crt-d, brava crt-d, mirro mri icd"
4,insufficiently protected credentials,results in user credentials being insufficiently protected during transport.,3S-Smart Software Solutions GmbH,"codesys control for beaglebone, codesys control for empc-a/imx6, codesys control for iot2000, codesys control for linux, codesys control for pfc100, codesys control for pfc200, codesys control for raspberry pi, codesys control rte v3, codesys control rte v3 (for beckhoff cx), codesys control win v3 (also part of the codesys development system setup), codesys v3 simulation runtime (part of the codesys development system), codesys control v3 runtime system toolkit, codesys hmi v3"
5,improper neutralization of input during web page generation ('cross-site scripting'),allow the contents of manipulated libraries to be displayed or executed.,3S-Smart Software Solutions GmbH,32 and 64 bit codesys development system v3
6,improper input validation,"a remote attacker could use specially crafted packets sent to port 443/tcp to upload, download, or delete files in certain parts of the file system.",Siemens,"siprotec 5, 6md85, 6md86, 6md89, 7um85, 7sa87, 7sd87, 7sl87, 7vk87, 7sa82, 7sa86, 7sd82, 7sd86, 7sl82, 7sl86, 7sj86, 7sk82, 7sk85, 7sj82, 7sj85, 7ut82, 7ut85, 7ut86, 7ut87, 7ve85, siprotec 5, 7ss85, 7ke85, siprotec 5 with cpu variants cp200 and the respective ethernet communication modules, siprotec 5 with cpu variants cp200 and the respective ethernet communication modules, digsi 5"
7,improper input validation,cause a denial-of-service condition.,Siemens,"siprotec 5, 6md85, 6md86, 6md89, 7um85, 7sa87, 7sd87, 7sl87, 7vk87, 7sa82, 7sa86, 7sd82, 7sd86, 7sl82, 7sl86, 7sj86, 7sk82, 7sk85, 7sj82, 7sj85, 7ut82, 7ut85, 7ut86, 7ut87, 7ve85, siprotec 5, 7ss85, 7ke85, siprotec 5 with cpu variants cp200 and the respective ethernet communication modules, siprotec 5 with cpu variants cp200 and the respective ethernet communication modules, digsi 5"
8,improper neutralization of special elements used in an os command ('os command injection'),"a specially crafted authenticated http request can inject arbitrary commands, resulting in remote code execution.",Sierra Wireless,"ls300, gx400, gx440, and es440, gx450 and es450, mp70, mp70e, rv50, rv50x, lx40, and lx60"
9,use of hard-coded credentials,"cause the activation of the hard-coded credentials, resulting in the exposure of a privileged user.",Sierra Wireless,"ls300, gx400, gx440, and es440, gx450 and es450, mp70, mp70e, rv50, rv50x, lx40, and lx60"
10,unrestricted upload of file with dangerous type,"a specially crafted authenticated http request can upload a file, resulting in an executable, routable code upload to the web server.",Sierra Wireless,"ls300, gx400, gx440, and es440, gx450 and es450, mp70, mp70e, rv50, rv50x, lx40, and lx60"
11,improper neutralization of input during web page generation ('cross-site scripting'),cause reflected javascript to be executed and run on the user’s browser.,Sierra Wireless,"ls300, gx400, gx440, and es440, gx450 and es450, mp70, mp70e, rv50, rv50x, lx40, and lx60"
12,cross-site request forgery (csrf),"cause an authenticated user to perform privileged requests unknowingly, resulting in unauthenticated requests through an authenticated user.",Sierra Wireless,"ls300, gx400, gx440, and es440, gx450 and es450, mp70, mp70e, rv50, rv50x, lx40, and lx60"
13,information exposure,"cause an information leak, resulting in the disclosure of internal file paths.",Sierra Wireless,"ls300, gx400, gx440, and es440, gx450 and es450, mp70, mp70e, rv50, rv50x, lx40, and lx60"
14,missing encryption of sensitive data,allow access to credentials.,Sierra Wireless,"ls300, gx400, gx440, and es440, gx450 and es450, mp70, mp70e, rv50, rv50x, lx40, and lx60"
15,improper input validation,cause a denial-of-service condition on the remote and local communication functionality of the affected products.,Siemens,"application server, ms3000 migration server: all"
16,uncaught exception,allow an unauthenticated remote attacker to cause a denial-of-service condition in the opc communication or crash the device.,Siemens,"simatic cp443-1 opc ua (including siplus net variants), simatic et 200 open controller cpu 1515sp pc2 (including siplus variants), simatic hmi comfort outdoor panels 7"" & 15"" (including siplus variants), simatic hmi comfort panels 4"" 22"" (including siplus variants), simatic hmi ktp mobile panels ktp400f, ktp700, ktp700f, ktp900, ktp900f (including siplus variants), simatic ipc diagmonitor, sinec-nms, simatic net pc software, simatic rf188c, simatic rf600r, simatic s7-1500 cpu family, simatic wincc oa, sinec-nms, sinema server, sinumerik opc ua server, telecontrol server basic"
17,improper input validation,cause the affected devices to go into defect mode.,Siemens,"simatic s7-300 cpu family (incl.related et200 cpus and siplus variants, simatic s7-400 pn/dp v6 and below cpu family (incl.siplus variants, simatic s7-400 pn/dp v7 cpu family (incl.siplus variants, simatic s7-410 v8 cpu family (incl.siplus variants"
18,relative path traversal,allow an attacker to read files on the system.,Medtronic,"2090 carelink programmer, 29901 encore programmer"
