vul,weakness_name,intrusion_action,vendor,product_name
1001,"improper input validation , out-of-bounds read",cause a denial-of-service situation which leads to a restart of the webserver of the affected device,Siemens,"cp1604, cp1616, simatic rf185c, simatic cp343-1 advanced, simatic cp443-1, simatic cp443-1 advanced, simatic et 200 sp open controller cpu 1515sp pc, simatic et 200 sp open controller cpu 1515sp pc2, simatic hmi comfort outdoor panels, simatic hmi comfort panels, simatic hmi ktp mobile panels ktp400f, simatic hmi ktp mobile panels ktp700, simatic hmi ktp mobile panels ktp700f, simatic hmi ktp mobile panels ktp900, simatic hmi ktp mobile panels ktp900f, simatic rf600r, simatic rf188c, simatic rf186c, simatic rf182c, simatic rf181-eip, simatic s7-1500, simatic s7-300, simatic s7-400 pn, simatic s7-400 pn\/dp, simatic teleservice adapter ie advanced, simatic teleservice adapter ie basic, simatic teleservice adapter ie standard, simatic winac rtx 2010, simocode pro v eip, simocode pro v pn, sinamics g130, sinamics g150, sinamics s120, sinamics s150, sinamics s210, sitop psu8600, sitop ups1600, tim 1531 irc, simatic s7-1500f, simatic s7-1500s, simatic s7-1500t, cp1604 firmware, cp1616 firmware, simatic rf185c firmware, simatic cp343-1 advanced firmware, simatic cp443-1 firmware, simatic cp443-1 advanced firmware, simatic et 200 sp open controller cpu 1515sp pc firmware, simatic et 200 sp open controller cpu 1515sp pc2 firmware, simatic hmi comfort outdoor panels firmware, simatic hmi comfort panels firmware, simatic hmi ktp mobile panels ktp400f firmware, simatic hmi ktp mobile panels ktp700 firmware, simatic hmi ktp mobile panels ktp700f firmware, simatic hmi ktp mobile panels ktp900 firmware, simatic hmi ktp mobile panels ktp900f firmware, simatic cp443-1 opc ua, simatic ipc diagmonitor, simatic s7-1500 software controller, simatic s7-plcsim advanced, simatic wincc runtime advanced, sitop manager, simatic rf600r firmware, simatic rf188c firmware, simatic rf186c firmware, simatic rf182c firmware, simatic rf181-eip firmware, simatic s7-1500 firmware, simatic s7-300 firmware, simatic s7-400 pn firmware, simatic s7-400 pn\/dp firmware, simatic teleservice adapter ie advanced firmware, simatic teleservice adapter ie basic firmware, simatic teleservice adapter ie standard firmware, simatic winac rtx 2010 firmware, simocode pro v eip firmware, simocode pro v pn firmware, sinamics g130 firmware, sinamics g150 firmware, sinamics s120 firmware, sinamics s150 firmware, sinamics s210 firmware, sitop psu8600 firmware, sitop ups1600 firmware, tim 1531 irc firmware, simatic s7-1500f firmware, simatic s7-1500s firmware, simatic s7-1500t firmware"
1002,improper access control,"an attacker with adjacent short-range access to an affected product, in situations where the product’s radio is turned on, can inject, replay, modify, and/or intercept data within the telemetry communication.",Medtronic,"mycarelink monitor, carelink monitor, carelink 2090, amplia crt-d, claria crt-d, compia crt-d, concerto crt-d, concerto ii crt-d, consulta crt-d, evera icd, maximo ii crt-d and lcd, mirro icd, nayamed nd icd, primo icd, protecta icd and crt-d, secura icd, virtuoso icd, virtuoso ii icd, visia af icd, viva crt-d, mycarelink monitor firmware, carelink monitor firmware, carelink 2090 firmware, amplia crt-d firmware, claria crt-d firmware, compia crt-d firmware, concerto crt-d firmware, concerto ii crt-d firmware, consulta crt-d firmware, evera icd firmware, maximo ii crt-d and lcd firmware, mirro icd firmware, nayamed nd icd firmware, primo icd firmware, protecta icd and crt-d firmware, secura icd firmware, virtuoso icd firmware, virtuoso ii icd firmware, visia af icd firmware, viva crt-d firmware"
1003,"cryptographic issues , cleartext transmission of sensitive information","an attacker with adjacent short-range access to a target product can listen to communications, including the transmission of sensitive data.",Medtronic,"mycarelink monitor 24950, mycarelink monitor 24952, carelink monitor 2490c, carelink 2090, amplia crt-d, claria crt-d, compia crt-d, concerto crt-d, concerto ii crt-d, consulta crt-d, evera icd, maximo ii crt-d, maximo ii icd, mirro icd, nayamed nd icd, primo icd, protecta icd, protecta crt-d, secura icd, virtuoso icd, virtuoso ii icd, visia af icd, viva crt-d, mycarelink monitor 24950 firmware, mycarelink monitor 24952 firmware, carelink monitor 2490c firmware, carelink 2090 firmware, amplia crt-d firmware, claria crt-d firmware, compia crt-d firmware, concerto crt-d firmware, concerto ii crt-d firmware, consulta crt-d firmware, evera icd firmware, maximo ii crt-d firmware, maximo ii icd firmware, mirro icd firmware, nayamed nd icd firmware, primo icd firmware, protecta icd firmware, protecta crt-d firmware, secura icd firmware, virtuoso icd firmware, virtuoso ii icd firmware, visia af icd firmware, viva crt-d firmware"
1004,credentials management,results in user credentials being insufficiently protected during transport.,3S-Smart Software Solutions GmbH,"control for beaglebone sl, control for empc-a\/imx6 sl, control for iot2000 sl, control for linux sl, control for pfc100 sl, control for pfc200 sl, control rte sl, control win sl, development system, hmi sl, raspberry pi, runtime toolkit"
1005,improper neutralization of input during web page generation ('cross-site scripting'),"allows the system to display active library content without checking its validity, which may allow the contents of manipulated libraries to be displayed or executed.",3S-Smart Software Solutions GmbH,codesys
1006,"unrestricted upload of file with dangerous type , files or directories accessible to external parties","a remote attacker could use specially crafted packets sent to port 443/tcp to upload, download or delete files in certain parts of the file system.",Siemens,"6md85, digsi 5 engineering software, siprotec 5 digsi device driver"
1007,"improper input validation , uncaught exception",cause a denial of service condition.,Siemens,"6md85, digsi 5 engineering software, siprotec 5 digsi device driver"
1008,improper neutralization of special elements used in an os command ('os command injection'),"a specially crafted http request can inject arbitrary commands, resulting in arbitrary command execution.",Sierra Wireless,"airlink es450, airlink es450 firmware"
1009,use of hard-coded credentials,"cause the activation of the hard-coded credentials, resulting in the exposure of a privileged user.",Sierra Wireless,"airlink es450, airlink es450 firmware"
1010,unrestricted upload of file with dangerous type,"a specially crafted http request can upload a file, resulting in executable code being uploaded, and routable, to the webserver.",Sierra Wireless,"airlink es450, airlink es450 firmware"
1011,improper neutralization of input during web page generation ('cross-site scripting'),"cause reflected javascript code execution, resulting in the execution of javascript code running on the victim's browser.",Sierra Wireless,"airlink es450, airlink es450 firmware"
1012,cross-site request forgery (csrf),"cause an authenticated user to perform privileged requests unknowingly, resulting in unauthenticated requests being requested through an authenticated user.",Sierra Wireless,"airlink es450, airlink es450 firmware"
1013,information exposure,"cause a information leak, resulting in the disclosure of internal paths and files.",Sierra Wireless,"airlink es450, airlink es450 firmware"
1014,information exposure,an attacker can listen to network traffic upstream from the device to capitalize on this vulnerability.,Sierra Wireless,"airlink es450, airlink es450 firmware"
1015,improper input validation,cause a denial-of-service condition on the remote and local communication functionality of the affected products.,Siemens,"openpcs 7, simatic batch, simatic net pc, simatic pcs 7, simatic route control, simatic wincc runtime professional, simatic wincc"
